"_id","name","q3Ob","q3T","q4Ob","q4T","q5Ob","q5T","q1Ob","q1T","q6Ob","q6T"
"midsemschema","name","midsem.co1.q3.obt","midsem.co1.q3.total","midsem.co2.q4.obt","midsem.co2.q4.total","midsem.co1.q5.obt","midsem.co1.q5.total","midsem.co5.q1.obt","midsem.co5.q1.total","midsem.co1.q6.obt","midsem.co1.q6.total"
